Time (sec.), Cycles, "value_state"
2.212161820, 221216182, -0.574074924
2.222162290, 222216229, -0.572377622
2.232162910, 223216291, -0.570669353
2.242167480, 224216748, -0.568950057
2.252165170, 225216517, -0.567219675
2.262166240, 226216624, -0.565478206
2.272168720, 227216872, -0.563725591
2.282167810, 228216781, -0.561961770
2.292167650, 229216765, -0.560186684
2.302168040, 230216804, -0.558400333
2.312167860, 231216786, -0.556602657
2.322167530, 232216753, -0.554793596
2.332167490, 233216749, -0.552973151
2.342168100, 234216810, -0.551141262
2.352166700, 235216670, -0.549297869
2.362166680, 236216668, -0.547442913
2.372165820, 237216582, -0.545576394
2.382162300, 238216230, -0.543698251
2.392161390, 239216139, -0.541808426
2.402161100, 240216110, -0.539906919
2.412163930, 241216393, -0.537993670
2.422161560, 242216156, -0.536068618
2.432163510, 243216351, -0.534131765
2.442162130, 244216213, -0.532183051
2.452162240, 245216224, -0.530222416
2.462161440, 246216144, -0.528249860
2.472162030, 247216203, -0.526265323
2.482162280, 248216228, -0.524268746
2.492171960, 249217196, -0.522260129
2.502170990, 250217099, -0.520239413
2.512171930, 251217193, -0.518206537
2.522170800, 252217080, -0.516161501
2.532171190, 253217119, -0.514104247
2.542162680, 254216268, -0.512034714
2.552163720, 255216372, -0.509952903
2.562161280, 256216128, -0.507858753
2.572161860, 257216186, -0.505752265
2.582162810, 258216281, -0.503633380
2.592162820, 259216282, -0.501502037
2.602163610, 260216361, -0.499358237
2.612162760, 261216276, -0.497201949
2.622161760, 262216176, -0.495033115
2.632162720, 263216272, -0.492851704
2.642159420, 264215942, -0.490657687
2.652167420, 265216742, -0.488451034
2.662165800, 266216580, -0.486231714
2.672166960, 267216696, -0.483999699
2.682166330, 268216633, -0.481754959
2.692167820, 269216782, -0.479497463
2.702166770, 270216677, -0.477227181
2.712166410, 271216641, -0.474944085
2.722165960, 272216596, -0.472648144
2.732168240, 273216824, -0.470339328
2.742167360, 274216736, -0.468017608
2.752167950, 275216795, -0.465682954
2.762165980, 276216598, -0.463335335
2.772167440, 277216744, -0.460974753
2.782167610, 278216761, -0.458601177
2.792163090, 279216309, -0.456214577
2.802161470, 280216147, -0.453814924
2.812160300, 281216030, -0.451402217
2.822162060, 282216206, -0.448976427
2.832163010, 283216301, -0.446537524
2.842161850, 284216185, -0.444085479
2.852161570, 285216157, -0.441620290
2.862162460, 286216246, -0.439141959
2.872161330, 287216133, -0.436650455
2.882162730, 288216273, -0.434145749
2.892163730, 289216373, -0.431627840
2.902171360, 290217136, -0.429096729
2.912171750, 291217175, -0.426552385
2.922171070, 292217107, -0.423994809
2.932172080, 293217208, -0.421424001
2.942171440, 294217144, -0.418839931
2.952161510, 295216151, -0.416242599
2.962161940, 296216194, -0.413632005
2.972160790, 297216079, -0.411008149
2.982162280, 298216228, -0.408371001
2.992161760, 299216176, -0.405720592
3.002162520, 300216252, -0.403056890
3.012160960, 301216096, -0.400379926
3.022161240, 302216124, -0.397689700
3.032162260, 303216226, -0.394986212
3.042160710, 304216071, -0.392269462
3.052161540, 305216154, -0.389539450
3.062163280, 306216328, -0.386796176
3.072167180, 307216718, -0.384039670
3.082165380, 308216538, -0.381269932
3.092165430, 309216543, -0.378486991
3.102167370, 310216737, -0.375690848
3.112166580, 311216658, -0.372881532
3.122167360, 312216736, -0.370059043
3.132166440, 313216644, -0.367223412
3.142166880, 314216688, -0.364374638
3.152167240, 315216724, -0.361512780
3.162166910, 316216691, -0.358637840
3.172168060, 317216806, -0.355749846
3.182164640, 318216464, -0.352848828
3.192165040, 319216504, -0.349934816
3.202166960, 320216696, -0.347007841
3.212160110, 321216011, -0.344067931
3.222162070, 322216207, -0.341115117
3.232162130, 323216213, -0.338149458
3.242162370, 324216237, -0.335170984
3.252161600, 325216160, -0.332179725
3.262162400, 326216240, -0.329175740
3.272161500, 327216150, -0.326159060
3.282162940, 328216294, -0.323129714
3.292162390, 329216239, -0.320087790
3.302161470, 330216147, -0.317033321
3.312161660, 331216166, -0.313966364
3.322162540, 332216254, -0.310886949
3.332172180, 333217218, -0.307795167
3.342171600, 334217160, -0.304691076
3.352170810, 335217081, -0.301574707
3.362172920, 336217292, -0.298446149
3.372171310, 337217131, -0.295305461
3.382163380, 338216338, -0.292152703
3.392163060, 339216306, -0.288987964
3.402163010, 340216301, -0.285811305
3.412162650, 341216265, -0.282622784
3.422162620, 342216262, -0.279422492
3.432162390, 343216239, -0.276210517
3.442162050, 344216205, -0.272986919
3.452162750, 345216275, -0.269751787
3.462162340, 346216234, -0.266505212
3.472161960, 347216196, -0.263247281
3.482161130, 348216113, -0.259978086
3.492165770, 349216577, -0.256697714
3.502166870, 350216687, -0.253406256
3.512165330, 351216533, -0.250103831
3.522168290, 352216829, -0.246790498
3.532168490, 353216849, -0.243466377
3.542167640, 354216764, -0.240131572
3.552167740, 355216774, -0.236786202
3.562167230, 356216723, -0.233430356
3.572167530, 357216753, -0.230064154
3.582166340, 358216634, -0.226687700
3.592167410, 359216741, -0.223301113
3.602168300, 360216830, -0.219904497
3.612165800, 361216580, -0.216497988
3.622165550, 362216555, -0.213081688
3.632166700, 363216670, -0.209655732
3.642160650, 364216065, -0.206220254
3.652162180, 365216218, -0.202775374
3.662160990, 366216099, -0.199321210
3.672162490, 367216249, -0.195857897
3.682163980, 368216398, -0.192385584
3.692162040, 369216204, -0.188904390
3.702163520, 370216352, -0.185414463
3.712161370, 371216137, -0.181915939
3.722162920, 372216292, -0.178408951
3.732161390, 373216139, -0.174893662
3.742163200, 374216320, -0.171370208
3.752162690, 375216269, -0.167838722
3.762171800, 376217180, -0.164299369
3.772171980, 377217198, -0.160752296
3.782171760, 378217176, -0.157197669
3.792171520, 379217152, -0.153635621
3.802171610, 380217161, -0.150066331
3.812161890, 381216189, -0.146489948
3.822162020, 382216202, -0.142906621
3.832163280, 383216328, -0.139316529
3.842163120, 384216312, -0.135719821
3.852162710, 385216271, -0.132116675
3.862160570, 386216057, -0.128507257
3.872161600, 387216160, -0.124891728
3.882161660, 388216166, -0.121270269
3.892161430, 389216143, -0.117643043
3.902162610, 390216261, -0.114010222
3.912161440, 391216144, -0.110371985
3.922160230, 392216023, -0.106728509
3.932166240, 393216624, -0.103079967
3.942165290, 394216529, -0.099426538
3.952167530, 395216753, -0.095768407
3.962167590, 396216759, -0.092105746
3.972167590, 397216759, -0.088438742
3.982167750, 398216775, -0.084767580
3.992167930, 399216793, -0.081092440
4.002168260, 400216826, -0.077413507
4.012166510, 401216651, -0.073730975
4.022168380, 402216838, -0.070045024
4.032168810, 403216881, -0.066355839
4.042167610, 404216761, -0.062663615
4.052165330, 405216533, -0.058968537
4.062166560, 406216656, -0.055270795
4.072166420, 407216642, -0.051570579
